メールアドレス,社員番号,フルネーム
user1@company.onmicrosoft.com,1001,ユーザーA
user2@company.onmicrosoft.com,1002,ユーザーB
user3@company.onmicrosoft.com,1003,ユーザーC
user4@company.onmicrosoft.com,1004,ユーザーD
user5@company.onmicrosoft.com,1005,ユーザーE
user6@company.onmicrosoft.com,1006,ユーザーF
user7@company.onmicrosoft.com,1007,ユーザーG
user8@company.onmicrosoft.com,1008,ユーザーH
user9@company.onmicrosoft.com,1009,ユーザーI
user10@company.onmicrosoft.com,1010,ユーザーJ
admin1@company.onmicrosoft.com,9001,管理者A
admin2@company.onmicrosoft.com,9002,管理者B
admin3@company.onmicrosoft.com,9003,管理者C
